Ticker;Name;Ticker_Min;ISIN;GICS_Sector;GICS_Industry
ABEV3 BS Equity;Ambev SA;ABEV3   BZ;BRABEVACNOR1;Consumer Staples;Beverages
CRFB3 BS Equity;Atacadao SA;CRFB3   BZ;BRCRFBACNOR2;Consumer Staples;Food & Staples Retailing
AZUL4 BS Equity;Azul SA;AZUL4   BZ;BRAZULACNPR4;Industrials;Airlines
BTOW3 BS Equity;B2W Cia Digital;BTOW3   BZ;BRBTOWACNOR8;Consumer Discretionary;Internet & Direct Marketing Retail
B3SA3 BS Equity;B3 SA - Brasil Bolsa Balcao;B3SA3   BZ;BRB3SAACNOR6;Financials;Capital Markets
BBDC4 BS Equity;Banco Bradesco SA;BBDC4   BZ;BRBBDCACNPR8;Financials;Banks
BBDC3 BS Equity;Banco Bradesco SA;BBDC3   BZ;BRBBDCACNOR1;Financials;Banks
BPAC11 BS Equity;Banco BTG Pactual SA;BPAC11  BZ;BRBPACUNT006;Financials;Capital Markets
BBAS3 BS Equity;Banco do Brasil SA;BBAS3   BZ;BRBBASACNOR3;Financials;Banks
SANB11 BS Equity;Banco Santander Brasil SA;SANB11  BZ;BRSANBCDAM13;Financials;Banks
BBSE3 BS Equity;BB Seguridade Participacoes SA;BBSE3   BZ;BRBBSEACNOR5;Financials;Insurance
BRML3 BS Equity;BR Malls Participacoes SA;BRML3   BZ;BRBRMLACNOR9;Real Estate;Real Estate Management & Development
BRAP4 BS Equity;Bradespar SA;BRAP4   BZ;BRBRAPACNPR2;Materials;Metals & Mining
BRKM5 BS Equity;Braskem SA;BRKM5   BZ;BRBRKMACNPA4;Materials;Chemicals
BRFS3 BS Equity;BRF SA;BRFS3   BZ;BRBRFSACNOR8;Consumer Staples;Food Products
CCRO3 BS Equity;CCR SA;CCRO3   BZ;BRCCROACNOR2;Industrials;Transportation Infrastructure
ELET3 BS Equity;Centrais Eletricas Brasileiras SA;ELET3   BZ;BRELETACNOR6;Utilities;Electric Utilities
ELET6 BS Equity;Centrais Eletricas Brasileiras SA;ELET6   BZ;BRELETACNPB7;Utilities;Electric Utilities
PCAR3 BS Equity;Cia Brasileira de Distribuicao;PCAR3   BZ;BRPCARACNOR3;Consumer Staples;Food & Staples Retailing
LCAM3 BS Equity;Cia de Locacao das Americas;LCAM3   BZ;BRLCAMACNOR3;Industrials;Road & Rail
SBSP3 BS Equity;Cia de Saneamento Basico do Estado de Sa;SBSP3   BZ;BRSBSPACNOR5;Utilities;Water Utilities
CMIG4 BS Equity;Cia Energetica de Minas Gerais;CMIG4   BZ;BRCMIGACNPR3;Utilities;Electric Utilities
HGTX3 BS Equity;Cia Hering;HGTX3   BZ;BRHGTXACNOR9;Consumer Discretionary;Textiles, Apparel & Luxury Goods
CPLE6 BS Equity;Cia Paranaense de Energia;CPLE6   BZ;BRCPLEACNPB9;Utilities;Electric Utilities
CSNA3 BS Equity;Cia Siderurgica Nacional SA;CSNA3   BZ;BRCSNAACNOR6;Materials;Metals & Mining
CIEL3 BS Equity;Cielo SA;CIEL3   BZ;BRCIELACNOR3;Information Technology;IT Services
COGN3 BS Equity;Cogna Educacao;COGN3   BZ;BRCOGNACNOR2;Consumer Discretionary;Diversified Consumer Services
CSAN3 BS Equity;Cosan SA;CSAN3   BZ;BRCSANACNOR6;Energy;Oil, Gas & Consumable Fuels
CPFE3 BS Equity;CPFL Energia SA;CPFE3   BZ;BRCPFEACNOR0;Utilities;Electric Utilities
CVCB3 BS Equity;CVC Brasil Operadora e Agencia de Viagen;CVCB3   BZ;BRCVCBACNOR1;Consumer Discretionary;Hotels, Restaurants & Leisure
CYRE3 BS Equity;Cyrela Brazil Realty SA Empreendimentos;CYRE3   BZ;BRCYREACNOR7;Consumer Discretionary;Household Durables
ECOR3 BS Equity;EcoRodovias Infraestrutura e Logistica S;ECOR3   BZ;BRECORACNOR8;Industrials;Transportation Infrastructure
ENBR3 BS Equity;EDP - Energias do Brasil SA;ENBR3   BZ;BRENBRACNOR2;Utilities;Electric Utilities
EMBR3 BS Equity;Embraer SA;EMBR3   BZ;BREMBRACNOR4;Industrials;Aerospace & Defense
ENGI11 BS Equity;Energisa SA;ENGI11  BZ;BRENGICDAM16;Utilities;Electric Utilities
ENEV3 BS Equity;Eneva SA;ENEV3   BZ;BRENEVACNOR8;Utilities;Independent Power and Renewable Electricity Producers
EGIE3 BS Equity;Engie Brasil Energia SA;EGIE3   BZ;BREGIEACNOR9;Utilities;Independent Power and Renewable Electricity Producers
EQTL3 BS Equity;Equatorial Energia SA;EQTL3   BZ;BREQTLACNOR0;Utilities;Electric Utilities
EZTC3 BS Equity;Ez Tec Empreendimentos e Participacoes S;EZTC3   BZ;BREZTCACNOR0;Consumer Discretionary;Household Durables
FLRY3 BS Equity;Fleury SA;FLRY3   BZ;BRFLRYACNOR5;Health Care;Health Care Providers & Services
GGBR4 BS Equity;Gerdau SA;GGBR4   BZ;BRGGBRACNPR8;Materials;Metals & Mining
GOLL4 BS Equity;Gol Linhas Aereas Inteligentes SA;GOLL4   BZ;BRGOLLACNPR4;Industrials;Airlines
HAPV3 BS Equity;Hapvida Participacoes e Investimentos SA;HAPV3   BZ;BRHAPVACNOR4;Health Care;Health Care Providers & Services
HYPE3 BS Equity;Hypera SA;HYPE3   BZ;BRHYPEACNOR0;Health Care;Pharmaceuticals
IGTA3 BS Equity;Iguatemi Empresa de Shopping Centers SA;IGTA3   BZ;BRIGTAACNOR5;Real Estate;Real Estate Management & Development
IRBR3 BS Equity;IRB Brasil Resseguros S/A;IRBR3   BZ;BRIRBRACNOR4;Financials;Insurance
ITUB4 BS Equity;Itau Unibanco Holding SA;ITUB4   BZ;BRITUBACNPR1;Financials;Banks
ITSA4 BS Equity;Itausa SA;ITSA4   BZ;BRITSAACNPR7;Financials;Banks
JBSS3 BS Equity;JBS SA;JBSS3   BZ;BRJBSSACNOR8;Consumer Staples;Food Products
JHSF3 BS Equity;JHSF Participacoes SA;JHSF3   BZ;BRJHSFACNOR2;Real Estate;Real Estate Management & Development
KLBN11 BS Equity;Klabin SA;KLBN11  BZ;BRKLBNCDAM18;Materials;Containers & Packaging
RENT3 BS Equity;Localiza Rent a Car SA;RENT3   BZ;BRRENTACNOR4;Industrials;Road & Rail
LAME4 BS Equity;Lojas Americanas SA;LAME4   BZ;BRLAMEACNPR6;Consumer Discretionary;Multiline Retail
